id,Depth,age,N,C,S,OM,MM,MM_no_CaCO3,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Pb,FeMn,NaK,CuZn,CaFe,FeS,erosion,CaMg,TOCS,FeP
1,0,,"2,72710967063904","36,0308036804199","0,929720401763916","71,8463740458015","28,1536259541985","19,6936259541985","8,46","35,6462252518119","15,2495747573054",23008,"1,13788358330645","0,228218717521413","3,79589617379851","18,976431364907","3,90453593699602","12,4794707782317","0,0718757727663692","19,826497150844","157,859829140236","79,9857542199763","173,625552782521","0,0601224867784087","0,125595582225235","1,52061186745259","1,34228212638499","0,417815693364684","4,86009904150265","38,3408013680048","10,9672649832674"
3,"0,02",,"2,25066804885864","31,2118091583252","0,765271782875061","61,7993821334839","38,2006178665161","33,9695178665161","4,2311","31,2118091583252","16,1790972995087",20123,"1,2712","0,27871","4,12212","16,22342","4,442","13,782711","0,06876212","19,728712","152,43983","84,2291","200,44046053263","0,0676132669597198","0,129419666762945","1,177084827506","1,80102171652266","0,545065713641143","3,65227825303917","40,785260683551","10,8422836689742"
5,"0,04",,"1,89810955524445","26,8767776489258","0,644514799118042","55,4636128555595","44,5363871444405","41,8363871444405","2,7","26,6775911148458","16,3972918289457",27656,"1,63841106340151","0,350879266138082","5,43183083739885","14,7125392726992","5,27245314724562","14,1781955129544","0,066457480443636","19,0367389177224","174,405665354326","98,1658236948809","213,342356922172","0,0645968692033326","0,109152067274001","1,03768771274571","2,1998246638178","0,751410959445778","2,79045424621461","41,391743294881","8,65362535059975"
7,"0,06",,"2,03970289230347","28,8057537078857","0,708426713943482","55,3070471191406","44,6929528808594","41,7008528808594","2,9921","28,8057537078857","16,4762783766255",21125,"1,4738","0,31298","5,22312","15,22932","5,02991","14,12992","0,060220931","19,22931","174,9823","92,2983","234,63469868973","0,0599220389345832","0,109892886309072","1,07780652685932","1,99454929096975","0,693793944837984","3,02775198761012","40,6615859353151","9,58740670375899"
9,"0,08",,"2,06110429763794","31,6026935577393","0,760127723217011","62,1629644288329","37,8370355711671","33,5170355711671","4,32","31,2728182799793","17,7016537696749",18567,"1,32513650782832","0,289668009274401","4,93475441027849","15,3552781904474","4,99368204307009","14,0684744732644","0,0540078938782316","19,8764174202967","176,724079976191","81,3836571229268","260,489225982108","0,0586995795922607","0,112471472042602","1,09146718214747","1,85080402195092","0,665445740278395","3,07494110718492","41,1415309885377","10,6166228084081"
11,"0,1",,"2,21732425689697","32,5757675170898","0,787879765033722","64,174262008667","35,825737991333","31,593637991333","4,2321","32,5757675170898","17,1400560766234",19223,"1,12122","0,24332","4,22312","16,22321","4,239281","13,772612","0,054726162","19,45827","163,02912","84,9283","251,664130950751","0,0576161700354241","0,119354566840574","1,17793269715287","1,74806012430215","0,536621359151487","3,8268777181791","41,346115185095","12,2835946558213"
13,"0,12",,"2,26717162132263","36,759651184082","0,852461099624634","70,2563028144423","29,7436971855577","24,8836971855577","4,86","36,496479652562","18,7807688932179",17675,"1,06565014826508","0,229076168594014","3,60092949289339","17,2739618113959","3,97016040940804","12,6669957268203","0,0553699185524976","18,1902970705506","167,933373081338","73,3117142969478","228,770351446524","0,063615843921995","0,108318535719164","1,36369840046769","1,48593240587728","0,451556287785095","4,35094808019899","42,8130734277876","11,8866362918849"
15,"0,14",,"1,72431933879852","27,5472030639648","0,631879568099976","58,1245984649658","41,8754015350342","35,5512015350342","6,3242","27,5472030639648","18,6383130151629",19457,"1,782","0,378271","4,22178","17,02912","5,21211","14,58372","0,05788271","18,77261","220,0029","72,0382","251,952957973115","0,089599884408946","0,0853289206642276","1,16768012550982","2,3079904361922","0,576198946275556","3,26722191204714","43,595654068698","8,18390572390572"
17,"0,16",,"1,37505233287811","22,3547973632812","0,600584805011749","46,6178285623283","53,3821714376717","43,6621714376717","9,72","22,0583209870253","18,715438825758",27112,"2,09058461767164","0,422048352309241","6,83603229874428","16,4411167201561","7,07795134741019","17,1116858426433","0,0628554937868593","18,8341489954785","224,961801660863","101,38823244218","272,238507912585","0,061738788505544","0,0837215423081984","0,960812211686581","2,84917062500583","0,871962181309033","2,32286376568156","36,7280703789929","8,18511994109151"
19,"0,18",,"1,03703916072845","18,5604095458984","0,538165986537933","38,4200477600098","61,5799522399902","52,8035522399902","8,7764","18,5604095458984","20,88041797927",28829,"2,012","0,478271","7,12232","14,55921","7,2321","18,11092","0,067837122","18,77261","212,0832","87,2711","266,976538303025","0,0671510125914028","0,0885153090862454","0,803891243514962","3,36530372655267","1,01878405490408","2,01313726303563","34,4882620049979","9,00145129224652"
